contract,expected_proposals,category,severity
"EMPLOYMENT AGREEMENT

1. AT-WILL EMPLOYMENT. Employee's employment is at-will. Either party may terminate the employment relationship at any time, for any lawful reason or no reason.

2. NON-COMPETE. Employee agrees not to compete with Company for twelve (12) months following termination within a fifty (50) mile radius of Employee's primary work location.

3. SEVERANCE. Upon termination without cause, Employee shall receive two (2) weeks of base salary per year of service, contingent on execution of a release of claims.

4. IP ASSIGNMENT. Employee hereby assigns to Company all inventions, works, and intellectual property created during the term of employment.",[],employment,none
"EMPLOYMENT AGREEMENT

1. EMPLOYMENT TERM. Employee is hired for a fixed term of two (2) years and may only be terminated for cause as defined herein.

2. NON-COMPETE. Employee agrees not to compete for twelve (12) months within a fifty (50) mile radius following termination.

3. SEVERANCE. Employee shall receive two (2) weeks per year of service upon termination without cause.

4. IP ASSIGNMENT. Employee assigns all work-product IP to Company.","[{""original_clause"": ""1. EMPLOYMENT TERM. Employee is hired for a fixed term of two (2) years and may only be terminated for cause as defined herein."", ""reasoning"": ""Policy requires an at-will employment clause for US employees. A fixed-term cause-only arrangement significantly limits Company's ability to manage its workforce and creates substantial legal exposure."", ""revised_clause"": ""EMPLOYMENT. Employee's employment is at-will. Either party may terminate the relationship at any time for any lawful reason or no reason, with or without notice."", ""risk_level"": ""high""}]",employment,high
"EMPLOYMENT AGREEMENT

1. AT-WILL EMPLOYMENT. Employment is at-will and may be terminated by either party at any time for any lawful reason.

2. NON-COMPETE. Employee shall not compete with Company for three (3) years following termination, anywhere in the United States.

3. SEVERANCE. No severance is provided upon termination.

4. IP ASSIGNMENT. Employee assigns to Company all inventions created during employment.","[{""original_clause"": ""2. NON-COMPETE. Employee shall not compete with Company for three (3) years following termination, anywhere in the United States."", ""reasoning"": ""A 3-year nationwide non-compete is likely unenforceable in most US jurisdictions and violates policy limits of 12 months and 50 miles."", ""revised_clause"": ""NON-COMPETE. Employee agrees not to engage in competitive activity for twelve (12) months following termination within a fifty (50) mile radius of Employee's primary work location, or with specifically named competitors."", ""risk_level"": ""high""}, {""original_clause"": ""3. SEVERANCE. No severance is provided upon termination."", ""reasoning"": ""No severance provision violates policy minimum of 2 weeks per year of service."", ""revised_clause"": ""SEVERANCE. In the event of termination without cause, Employee shall receive severance pay equal to two (2) weeks of base salary for each full year of service, with a minimum of two (2) weeks."", ""risk_level"": ""medium""}]",employment,high
"EMPLOYMENT AGREEMENT

1. AT-WILL EMPLOYMENT. This is an at-will arrangement terminable by either party.

2. NON-COMPETE. Employee shall not compete for five (5) years worldwide.

3. SEVERANCE. No severance shall be paid for any reason.

4. IP ASSIGNMENT. All intellectual property created by Employee during or outside of working hours belongs to Company.","[{""original_clause"": ""2. NON-COMPETE. Employee shall not compete for five (5) years worldwide."", ""reasoning"": ""A 5-year worldwide non-compete is unenforceable and violates policy."", ""revised_clause"": ""NON-COMPETE. Employee shall not compete for twelve (12) months post-termination within a fifty (50) mile radius of Employee's primary office location."", ""risk_level"": ""high""}, {""original_clause"": ""3. SEVERANCE. No severance shall be paid for any reason."", ""reasoning"": ""No severance provision violates policy minimum of 2 weeks per year of service."", ""revised_clause"": ""SEVERANCE. In the event of termination without cause, Employee shall receive severance pay equal to two (2) weeks of base salary for each full year of service, with a minimum of two (2) weeks."", ""risk_level"": ""medium""}, {""original_clause"": ""4. IP ASSIGNMENT. All intellectual property created by Employee during or outside of working hours belongs to Company."", ""reasoning"": ""Assigning all IP regardless of when created is overbroad and likely unenforceable. Policy requires a carve-out for pre-existing IP."", ""revised_clause"": ""IP ASSIGNMENT. Employee assigns to Company all IP created during working hours or using Company resources during employment. Pre-existing IP listed in Exhibit A is excluded."", ""risk_level"": ""medium""}]",employment,high
"VENDOR SERVICES AGREEMENT

1. PAYMENT. Customer shall pay all invoices within thirty (30) days of receipt. Late payments accrue interest at 1.5% per month.

2. INDEMNIFICATION. Each party shall indemnify and hold harmless the other from claims arising out of its own acts or omissions.

3. TERMINATION. Either party may terminate this Agreement for convenience upon thirty (30) days written notice. Auto-renewal requires sixty (60) days opt-out notice.

4. GOVERNING LAW. This Agreement shall be governed by the laws of the State of Delaware.",[],vendor,none
"VENDOR SERVICES AGREEMENT

1. PAYMENT. Customer shall pay invoices within thirty (30) days.

2. INDEMNIFICATION. Customer shall indemnify, defend, and hold harmless Vendor from and against any and all claims, losses, and liabilities arising from Customer's use of the services.

3. TERMINATION. Either party may terminate upon thirty (30) days written notice.

4. GOVERNING LAW. This Agreement is governed by Delaware law.","[{""original_clause"": ""2. INDEMNIFICATION. Customer shall indemnify, defend, and hold harmless Vendor from and against any and all claims, losses, and liabilities arising from Customer's use of the services."", ""reasoning"": ""Policy requires mutual indemnification. Unilateral indemnification benefiting only Vendor creates significant financial exposure for Customer."", ""revised_clause"": ""INDEMNIFICATION. Each party shall indemnify, defend, and hold harmless the other party from claims arising out of its own acts, omissions, or breach of this Agreement."", ""risk_level"": ""high""}]",vendor,high
"VENDOR SERVICES AGREEMENT

1. PAYMENT. Customer shall pay all invoices within sixty (60) days of receipt. No late payment interest applies.

2. INDEMNIFICATION. Each party indemnifies the other for its own acts or omissions.

3. TERMINATION. This Agreement may be terminated immediately by either party for any reason without notice.

4. GOVERNING LAW. This Agreement is governed by the laws of Delaware.","[{""original_clause"": ""3. TERMINATION. This Agreement may be terminated immediately by either party for any reason without notice."", ""reasoning"": ""Allowing immediate termination for any reason provides no operational continuity. Policy mandates 30 days written notice for termination for convenience."", ""revised_clause"": ""TERMINATION. Either party may terminate for convenience upon thirty (30) days written notice. Immediate termination is permitted only for material uncured breach. Auto-renewal requires sixty (60) days opt-out notice."", ""risk_level"": ""medium""}]",vendor,medium
"VENDOR SERVICES AGREEMENT

1. PAYMENT. Customer shall pay invoices within ninety (90) days.

2. INDEMNIFICATION. Vendor shall indemnify Customer for Vendor's breaches only. Customer provides no indemnification to Vendor.

3. TERMINATION. Either party may terminate immediately without notice.

4. GOVERNING LAW. This Agreement is governed by the laws of England and Wales.","[{""original_clause"": ""1. PAYMENT. Customer shall pay invoices within ninety (90) days."", ""reasoning"": ""Net-90 payment terms violate policy requiring Net-30."", ""revised_clause"": ""PAYMENT. Customer shall pay all invoices within thirty (30) days of receipt. Late payments accrue interest at 1.5% per month."", ""risk_level"": ""medium""}, {""original_clause"": ""2. INDEMNIFICATION. Vendor shall indemnify Customer for Vendor's breaches only. Customer provides no indemnification to Vendor."", ""reasoning"": ""Policy requires mutual indemnification. One-sided protection is not acceptable."", ""revised_clause"": ""INDEMNIFICATION. Each party shall indemnify, defend, and hold harmless the other party from claims arising out of its own acts, omissions, or breach."", ""risk_level"": ""medium""}, {""original_clause"": ""3. TERMINATION. Either party may terminate immediately without notice."", ""reasoning"": ""Immediate termination without notice violates the 30-day minimum required by policy."", ""revised_clause"": ""TERMINATION. Either party may terminate for convenience upon thirty (30) days written notice."", ""risk_level"": ""medium""}, {""original_clause"": ""4. GOVERNING LAW. This Agreement is governed by the laws of England and Wales."", ""reasoning"": ""Policy requires governing law to be Delaware or counterparty's US state of incorporation. English law creates jurisdictional complexity and enforcement challenges."", ""revised_clause"": ""GOVERNING LAW. This Agreement shall be governed by the laws of the State of Delaware, without regard to conflict of law principles."", ""risk_level"": ""low""}]",vendor,medium
"VENDOR SERVICES AGREEMENT

1. PAYMENT. All invoices are due within ninety (90) days. No interest accrues on late payments.

2. INDEMNIFICATION. Customer shall fully indemnify Vendor against all claims of any nature whatsoever.

3. TERMINATION. This Agreement auto-renews annually. Neither party may terminate for convenience; termination requires mutual written consent.

4. GOVERNING LAW. This Agreement is governed by the laws of the Cayman Islands.","[{""original_clause"": ""1. PAYMENT. All invoices are due within ninety (90) days. No interest accrues on late payments."", ""reasoning"": ""Net-90 payment terms with no late interest violate policy requiring Net-30."", ""revised_clause"": ""PAYMENT. Customer shall pay all invoices within thirty (30) days of receipt. Late payments accrue interest at 1.5% per month."", ""risk_level"": ""medium""}, {""original_clause"": ""2. INDEMNIFICATION. Customer shall fully indemnify Vendor against all claims of any nature whatsoever."", ""reasoning"": ""Policy requires mutual indemnification. Unlimited unilateral indemnity is unacceptable."", ""revised_clause"": ""INDEMNIFICATION. Indemnification obligations are mutual. Each party shall indemnify the other only for claims arising from its own breach or negligence."", ""risk_level"": ""high""}, {""original_clause"": ""3. TERMINATION. This Agreement auto-renews annually. Neither party may terminate for convenience; termination requires mutual written consent."", ""reasoning"": ""Requiring mutual consent to terminate is commercially unreasonable and traps Customer. Policy requires a 30-day termination right and 60-day auto-renewal opt-out."", ""revised_clause"": ""TERMINATION. Either party may terminate for convenience upon thirty (30) days written notice. Auto-renewal may be prevented by sixty (60) days opt-out notice prior to renewal date."", ""risk_level"": ""high""}, {""original_clause"": ""4. GOVERNING LAW. This Agreement is governed by the laws of the Cayman Islands."", ""reasoning"": ""Offshore governing law creates enforcement complexity. Policy requires US jurisdiction."", ""revised_clause"": ""GOVERNING LAW. This Agreement is governed by the laws of the State of Delaware."", ""risk_level"": ""low""}]",vendor,high
"EMPLOYMENT AGREEMENT

1. EMPLOYMENT AT-WILL. Employee's employment is at-will and may be terminated by either party at any time for any reason, with or without cause or notice.

2. NON-COMPETE. Employee agrees not to engage in any competitive activity anywhere in the United States for a period of three (3) years following termination.

3. SEVERANCE. In the event of termination without cause, Employee shall receive one (1) week of severance pay regardless of length of service.

4. IP ASSIGNMENT. Employee hereby assigns to Employer all inventions, works, and intellectual property conceived or created during employment, whether or not related to Employer's business.","[{""original_clause"": ""2. NON-COMPETE. Employee agrees not to engage in any competitive activity anywhere in the United States for a period of three (3) years following termination."", ""reasoning"": ""A 3-year nationwide non-compete is unenforceable in most US jurisdictions and exceeds policy limits. Policy requires maximum 12 months and 50-mile radius."", ""revised_clause"": ""NON-COMPETE. Employee agrees not to engage in competitive activity within a fifty (50) mile radius of Employee's primary work location for a period of twelve (12) months following termination."", ""risk_level"": ""high""}, {""original_clause"": ""3. SEVERANCE. In the event of termination without cause, Employee shall receive one (1) week of severance pay regardless of length of service."", ""reasoning"": ""A flat 1-week severance is below policy minimum of 2 weeks per year of service and creates legal and reputational risk."", ""revised_clause"": ""SEVERANCE. In the event of termination without cause, Employee shall receive severance pay equal to two (2) weeks of base salary for each full year of service, with a minimum of two (2) weeks."", ""risk_level"": ""medium""}, {""original_clause"": ""4. IP ASSIGNMENT. Employee hereby assigns to Employer all inventions, works, and intellectual property conceived or created during employment, whether or not related to Employer's business."", ""reasoning"": ""Assigning all inventions regardless of subject matter or resources used is overbroad and likely unenforceable. Scoping to work-related IP is standard practice."", ""revised_clause"": ""IP ASSIGNMENT. Employee assigns to Employer all inventions conceived or created during employment that relate to Employer's business, are made with Employer resources, or arise from Employee's work duties. Inventions unrelated to Employer's business and created without Employer resources are excluded."", ""risk_level"": ""low""}]",employment,high
